,Physician_Name,NPI,Physician_Specialty,Company,Nature_of_Payment,Therapeutic_Area,Drug,Total_Payment,Number_of_Payments
970,"ERICKSON, EVELYN",1568480366.0,PLASTIC AND RECONSTRUCTIVE SURGERY,"SMITH+NEPHEW, INC.",FOOD AND BEVERAGE,PHARMA PRODUCTS,COLLAGENASE SANTYL,13.5,1
971,"ERICKSON, SARA",1902903693.0,CRITICAL CARE MEDICINE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,16.24,1
972,"ERICKSON, VERN",1760595979.0,INTERNAL MEDICINE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,RESPIRATORY,BREZTRI,14.23,1
973,"ERICKSON, VERN",1760595979.0,INTERNAL MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,18.08,1
974,"ERNST, ERIC",1437136819.0,CARDIOVASCULAR DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",DIABETES,JARDIANCE,7345.0,6
975,"ERNST, ERIC",1437136819.0,CARDIOVASCULAR DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,130.05,2
976,"ERNST, ERIC",1437136819.0,CARDIOVASCULAR DISEASE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",TRAVEL AND LODGING,DIABETES,JARDIANCE,817.29,3
977,"ERNST, ERIC",1437136819.0,CARDIOVASCULAR DISEASE,"LILLY USA, LLC","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",DIABETES,JARDIANCE,1760.0,2
978,"ERNTSON, TANYA",1700864279.0,OPTOMETRIST,"DOMPE US, INC.",FOOD AND BEVERAGE,SOLUTION/ DROPS,OXERVATE,19.7,1
979,"ERNTSON, TANYA",1700864279.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,16.39,1
980,"ERNTSON, TANYA",1700864279.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,29.72,2
981,"ESOMONU, CHIAMAKA",1174029193.0,ANESTHESIOLOGY,ACACIA PHARMA INC,FOOD AND BEVERAGE,ANESTHESIOLOGY,BYFAVO,16.61,1
982,"EVAN, KARIN",1508867003.0,OTOLARYNGOLOGY,"OPTINOSE US, INC.",FOOD AND BEVERAGE,"OTOLARYNGOLOGY (EAR, NOSE, THROAT)",XHANCE,49.93,4
983,"EVANS, LAUREN",1790458081.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,12.1,1
984,"EVANS, LAUREN",1790458081.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,13.53,1
985,"EVANS, MARK",1164463832.0,CARDIOVASCULAR DISEASE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,13.72,1
986,"EVANS, MARK",1164463832.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,15.77,1
987,"EVANS, TIMOTHY",1669000568.0,ANESTHESIOLOGY,ACACIA PHARMA INC,FOOD AND BEVERAGE,ANESTHESIOLOGY,BYFAVO,16.61,1
988,"FADDEN, PAUL",1154450708.0,UROLOGY,"ACCORD HEALTHCARE, INC.",FOOD AND BEVERAGE,ONCOLOGY,CAMCEVI,18.18,1
989,"FADDEN, PAUL",1154450708.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,119.47,11
990,"FADDEN, PAUL",1154450708.0,UROLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,ONCOLOGY,XTANDI,30.490000000000002,2
991,"FADDEN, PAUL",1154450708.0,UROLOGY,DENDREON PHARMACEUTICALS LLC,FOOD AND BEVERAGE,CELLULAR BIOLOGIC TREATMENT FOR PROSTATE CANCER,PROVENGE,50.11,2
992,"FADDEN, PAUL",1154450708.0,UROLOGY,GENZYME CORPORATION,FOOD AND BEVERAGE,ONCOLOGY,JEVTANA,13.56,1
993,"FADDEN, PAUL",1154450708.0,UROLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,ORGOVYX,23.3,1
994,"FADDEN, PAUL",1154450708.0,UROLOGY,"PROGENICS PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,RADIOPHARMACEUTICAL,PYLARIFY,13.29,1
995,"FADDEN, PAUL",1154450708.0,UROLOGY,"TOLMAR PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,PROSTATE CANCER,ELIGARD,16.32,1
996,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,ABBVIE INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",OPHTHALMOLOGY,VUITY,3600.0,2
997,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,30.71,1
998,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,ABBVIE INC.,TRAVEL AND LODGING,OPHTHALMOLOGY,VUITY,764.66,1
999,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"ALLERGAN, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",OPHTHALMOLOGY,VUITY,10800.0,6
1000,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"ALLERGAN, INC.",FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,322.23,6
1001,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"ALLERGAN, INC.",TRAVEL AND LODGING,OPHTHALMOLOGY,VUITY,1066.51,4
1002,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"DOMPE US, INC.",CONSULTING FEE,SOLUTION/ DROPS,OXERVATE,1732.5,1
1003,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,189.43,3
1004,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",DRY EYE,TYRVAYA,8620.0,5
1005,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,186.28,3
1006,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.",TRAVEL AND LODGING,DRY EYE,TYRVAYA,3016.71,12
1007,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,SUN PHARMACEUTICAL INDUSTRIES INC.,"COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",OPHTHALMOLOGY,CEQUA,3300.0,2
1008,"FAHMY, AHMAD",1598750929.0,CORNEAL AND CONTACT MANAGEMENT,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,46.19,2
1009,"FAHMY, MONA",1407047566.0,CORNEAL AND CONTACT MANAGEMENT,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,18.26,1
1010,"FAIRBANKS, AARON",1255863239.0,OPHTHALMOLOGY,"GENENTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY AND OPHTHALMOLOGY,SUSVIMO,21.26,1
1011,"FAIRBANKS, AARON",1255863239.0,OPHTHALMOLOGY,"GENENTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY AND OPHTHALMOLOGY,VABYSMO,16.54,1
1012,"FAIRBANKS, JARED",1881031524.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,20.14,1
1013,"FAKHAR, KAIHAN",1114312980.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,17.38,1
1014,"FAKHREDDINE, KAMAL",1174616817.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.11,1
1015,"FAKHREDDINE, KAMAL",1174616817.0,GENERAL PRACTICE,GC AMERICA INC.,FOOD AND BEVERAGE,PREVENTIVE,MIPASTE,22.37,1
1016,"FALK, MICHELLE",1134221674.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,14.63,1
1017,"FALK, MICHELLE",1134221674.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,14.48,1
1018,"FALLEN, MARK",1699789719.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,13.31,1
1019,"FALLEN, MARK",1699789719.0,UROLOGY,DENDREON PHARMACEUTICALS LLC,FOOD AND BEVERAGE,CELLULAR BIOLOGIC TREATMENT FOR PROSTATE CANCER,PROVENGE,23.12,1
1020,"FALLEN, MARK",1699789719.0,UROLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,ORGOVYX,25.56,1
1021,"FALTAS, RANO",1992060891.0,ANESTHESIOLOGY,ALMATICA PHARMA LLC,FOOD AND BEVERAGE,POSTHERPETIC NEURALGIA,GRALISE,25.4,2
1022,"FALTAS, RANO",1992060891.0,ANESTHESIOLOGY,"TEVA PHARMACEUTICALS USA, INC.",FOOD AND BEVERAGE,CENTRAL NERVOUS SYSTEM,AUSTEDO,17.05,1
1023,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,QULIPTA,20.07,1
1024,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,UBRELVY,48.42,3
1025,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,"ACORDA THERAPEUTICS, INC",FOOD AND BEVERAGE,PARKINSON'S DISEASE,INBRIJA,26.2,1
1026,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,"BIOGEN, INC.",FOOD AND BEVERAGE,NEUROLOGY,VUMERITY,122.97,5
1027,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,NEUROSCIENCE,KESIMPTA,26.08,2
1028,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,"SUPERNUS PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,AED,OXTELLAR XR,20.37,1
1029,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,"UCB, INC.",FOOD AND BEVERAGE,NEUROLOGY,NAYZILAM,36.230000000000004,2
1030,"FARACHE, MOSTAFA",1366646879.0,NEUROLOGY,VANDA PHARMACEUTICALS INC.,FOOD AND BEVERAGE,NON-24-HOUR SLEEP-WAKE DISORDER,HETLIOZ,12.24,1
1031,"FARNSWORTH, MICHAEL",1932183274.0,FORENSIC PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",PSYCHIATRY,ABILIFY MAINTENA,8877.0,4
1032,"FARNSWORTH, MICHAEL",1932183274.0,FORENSIC PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",PSYCHIATRY,REXULTI,8918.0,3
1033,"FARNSWORTH, MICHAEL",1932183274.0,FORENSIC PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,PSYCHIATRY,REXULTI,257.83,3
1034,"FARNSWORTH, MICHAEL",1932183274.0,FORENSIC PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",TRAVEL AND LODGING,PSYCHIATRY,ABILIFY MAINTENA,297.57,3
1035,"FARNSWORTH, MICHAEL",1932183274.0,FORENSIC PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",TRAVEL AND LODGING,PSYCHIATRY,REXULTI,937.5699999999999,11
1036,"FARNSWORTH, MICHAEL",1932183274.0,PSYCHIATRY,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,22.02,1
1037,"FARNSWORTH, MICHAEL",1932183274.0,PSYCHIATRY,"ALKERMES, INC.",FOOD AND BEVERAGE,CNS,ARISTADA,38.37,2
1038,"FARNSWORTH, MICHAEL",1932183274.0,PSYCHIATRY,"ITI, INC.",FOOD AND BEVERAGE,PSYCHIATRY,CAPLYTA,22.08,1
1039,"FARNSWORTH, MICHAEL",1932183274.0,PSYCHIATRY,LUNDBECK LLC,FOOD AND BEVERAGE,PSYCHIATRY,REXULTI,14.45,1
1040,"FARNSWORTH, MICHAEL",1932183274.0,PSYCHIATRY,"OTSUKA AMERICA PHARMACEUTICAL, INC.",FOOD AND BEVERAGE,PSYCHIATRY,REXULTI,36.91,2
1041,"FAROOQI, ASHAR",1538659008.0,NEUROLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,UPLIZNA,UPLIZNA,124.4,1
1042,"FARRA, FIRAS",1336235738.0,OBSTETRICS & GYNECOLOGY,"EXELTIS, USA INC.",FOOD AND BEVERAGE,ORAL CONTRACEPTIVE,SLYND,17.28,1
1043,"FARUQI, FAHAD",1710367008.0,HEMATOLOGY & ONCOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,ONCOLOGY,TURALIO,128.1,1
1044,"FAZELI, PARASTOO",1992980841.0,RHEUMATOLOGY,"JANSSEN BIOTECH, INC.",CONSULTING FEE,IMMUNOLOGY,TREMFYA,2000.0,1
1045,"FAZELI, PARASTOO",1992980841.0,RHEUMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,64.2,2
1046,"FAZELI, PARASTOO",1992980841.0,RHEUMATOLOGY,"JANSSEN BIOTECH, INC.",TRAVEL AND LODGING,IMMUNOLOGY,TREMFYA,308.0,1
1047,"FELT, JEFFREY",1508315789.0,INTERNAL MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,TAVNEOS,16.07,1
1048,"FELT, JEFFREY",1508315789.0,RHEUMATOLOGY,"JANSSEN BIOTECH, INC.",FOOD AND BEVERAGE,IMMUNOLOGY,TREMFYA,34.82,1
1049,"FEMRITE, MARY",1598750952.0,CORNEAL AND CONTACT MANAGEMENT,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.5,1
1050,"FENG, DALI",1215917646.0,CARDIOVASCULAR DISEASE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,LEQVIO,15.77,1
1051,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,15.07,1
1052,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,15.14,1
1053,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,"E.R. SQUIBB & SONS, L.L.C.",FOOD AND BEVERAGE,CARDIOVASCULAR,ELIQUIS,14.62,1
1054,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,29.34,2
1055,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,"LILLY USA, LLC",FOOD AND BEVERAGE,DIABETES,MOUNJARO,11.83,1
1056,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,CARDIOVASCULAR,ENTRESTO,18.34,1
1057,"FERRIS, FREDRICK",1316953854.0,INTERNAL MEDICINE,NOVO NORDISK INC,FOOD AND BEVERAGE,DIABETES,OZEMPIC,15.52,1
1058,"FEYMA, TIMOTHY",1467561464.0,NEUROLOGY WITH SPECIAL QUALIFICATIONS IN CHILD NEUROLOGY,"PTC THERAPEUTICS, INC.",FOOD AND BEVERAGE,DMD,EMFLAZA,137.87,1
1059,"FIELDS, TAYLOR",1942663380.0,INTERNAL MEDICINE,IRONSHORE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,CENTRAL NERVOUS STIMULANT ADHD,JORNAY PM,19.12,1
1060,"FIELDS, TAYLOR",1942663380.0,OPHTHALMOLOGY,HORIZON THERAPEUTICS PLC,FOOD AND BEVERAGE,TEPEZZA,TEPEZZA,238.76999999999998,3
1061,"FIESSINGER, LORI",1578982773.0,INTERNAL MEDICINE,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,31.09,1
1062,"FINN, KENDRA",1104207174.0,FAMILY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,LILETTA,17.53,1
1063,"FISCHER COSTELLO, LONDA",1942401039.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,40.349999999999994,2
1064,"FISCHER COSTELLO, LONDA",1942401039.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.97,1
1065,"FISCHER, JEFFREY",1386693604.0,OPHTHALMOLOGY,"DOMPE US, INC.",FOOD AND BEVERAGE,SOLUTION/ DROPS,OXERVATE,14.51,1
1066,"FISCHER, JEFFREY",1386693604.0,OPHTHALMOLOGY,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,11.77,1
1067,"FISCHER, JENNIFER",1306872197.0,EMERGENCY MEDICINE,"USWM, LLC",FOOD AND BEVERAGE,"TRAUMA (EMERGENCY, INJURY, SURGERY)",ZIMHI,14.87,1
1068,"FISCHER, MARK",1801807177.0,HAND SURGERY,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,30.0,1
1069,"FISH, FREDERICK",1346281250.0,MOHS-MICROGRAPHIC SURGERY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,16.28,1
1070,"FISHER, LAURA",1699088039.0,EMERGENCY MEDICINE,"ORAPHARMA, A DIVISION OF BAUSCH HEALTH US, LLC",FOOD AND BEVERAGE,DENTAL AND ORAL HEALTH,ARESTIN,44.370000000000005,2
1071,"FLEMING, PAUL",1033472865.0,OPTOMETRIST,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,13.88,1
1072,"FLEMING, TODD",1144279795.0,UROLOGY,"ACCORD HEALTHCARE, INC.",FOOD AND BEVERAGE,ONCOLOGY,CAMCEVI,44.61,2
1073,"FLEMING, TODD",1144279795.0,UROLOGY,"ANTARES PHARMA, INC.",FOOD AND BEVERAGE,NOCTURIA DUE TO NOCTURNAL POLYURIA IN ADULTS,NOCDURNA,33.25,2
1074,"FLEMING, TODD",1144279795.0,UROLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,ONCOLOGY,XTANDI,34.05,2
1075,"FLEMING, TODD",1144279795.0,UROLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,14.11,1
1076,"FLEMING, TODD",1144279795.0,UROLOGY,DENDREON PHARMACEUTICALS LLC,FOOD AND BEVERAGE,CELLULAR BIOLOGIC TREATMENT FOR PROSTATE CANCER,PROVENGE,79.38,3
1077,"FLEMING, TODD",1144279795.0,UROLOGY,MYOVANT SCIENCES INC.,FOOD AND BEVERAGE,HORMONE THERAPY,ORGOVYX,30.11,2
1078,"FLETCHER, HEIDI",1720234909.0,DENTIST,GC AMERICA INC.,FOOD AND BEVERAGE,PREVENTIVE,MIPASTE,11.93,1
1079,"FLINKENSTEIN, STEVE",1821209255.0,RHEUMATOLOGY,PFIZER INC.,EDUCATION,GASTROINTESTINAL;INFLAMMATION;OPHTHALMOLOGY;TRANSPLANT,XELJANZ,13.13,1
1080,"FLOM, ANDREA",1467429175.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,LO LOESTRIN FE,14.37,1
1081,"FLOM, ANDREA",1467429175.0,OBSTETRICS & GYNECOLOGY,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,16.01,1
1082,"FLOM, ANDREA",1467429175.0,OBSTETRICS & GYNECOLOGY,BAYER HEALTHCARE PHARMACEUTICALS INC.,FOOD AND BEVERAGE,WOMENS HEALTH,MIRENA,13.94,1
1083,"FLOREA, VIOREL",1215946652.0,CARDIOVASCULAR DISEASE,ASTRAZENECA PHARMACEUTICALS LP,FOOD AND BEVERAGE,CARDIOVASCULAR AND METABOLISM,FARXIGA,107.92,1
1084,"FLOREA, VIOREL",1215946652.0,INTERNAL MEDICINE,MERCK SHARP & DOHME LLC,FOOD AND BEVERAGE,CARDIOVASCULAR,VERQUVO,62.28,1
1085,"FLYNN, JENNIFER",1669639381.0,INTERNAL MEDICINE,ORGANON LLC,FOOD AND BEVERAGE,ETONOGESTREL,NEXPLANON,14.05,1
1086,"FLYNN, JENNIFER",1669639381.0,OBSTETRICS & GYNECOLOGY,DAIICHI SANKYO INC.,FOOD AND BEVERAGE,IRON DEFICIENCY ANEMIA,INJECTAFER,51.37,2
1087,"FLYNN, KAREN",1114942612.0,EMERGENCY MEDICINE,"CHIESI USA, INC.",FOOD AND BEVERAGE,CYSTIC FIBROSIS,BRONCHITOL,12.52,1
1088,"FLYNN, WILLIAM",1295964724.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,12.89,1
1089,"FOLEY, CHRISTOPHER",1609831205.0,CARDIOVASCULAR DISEASE,"JANSSEN PHARMACEUTICALS, INC","COMPENSATION FOR SERVICES OTHER THAN CONSULTING, INCLUDING SERVING AS FACULTY OR AS A SPEAKER AT A VENUE OTHER THAN A CONTINUING EDUCATION PROGRAM",CARDIOVASCULAR & METABOLISM,XARELTO,27497.5,9
1090,"FOLEY, CHRISTOPHER",1609831205.0,CARDIOVASCULAR DISEASE,"JANSSEN PHARMACEUTICALS, INC",FOOD AND BEVERAGE,CARDIOVASCULAR & METABOLISM,XARELTO,569.79,9
1091,"FOLEY, CHRISTOPHER",1609831205.0,CARDIOVASCULAR DISEASE,"JANSSEN PHARMACEUTICALS, INC",TRAVEL AND LODGING,CARDIOVASCULAR & METABOLISM,XARELTO,2127.81,15
1092,"FOLKERTS, ERIN",1477968626.0,CHIROPRACTOR,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,LILETTA,13.45,1
1093,"FOLSOM, AARON",1043548423.0,PUBLIC HEALTH & GENERAL PREVENTIVE MEDICINE,"HERON THERAPEUTICS, INC.",FOOD AND BEVERAGE,POSTOPERATIVE PAIN,ZYNRELEF,12.100000000000001,2
1094,"FONTANA, SCOTT",1922195635.0,OPTOMETRIST,NOVARTIS PHARMACEUTICALS CORPORATION,FOOD AND BEVERAGE,OPHTHALMOLOGY,XIIDRA,37.879999999999995,2
1095,"FORLITI, BREANN",1265694715.0,OPTOMETRIST,ABBVIE INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,VUITY,15.49,1
1096,"FORLITI, BREANN",1265694715.0,OPTOMETRIST,"OYSTER POINT PHARMA, INC.",FOOD AND BEVERAGE,DRY EYE,TYRVAYA,28.799999999999997,2
1097,"FOSSO, TREVOR",1336597079.0,OPTOMETRIST,ALCON VISION LLC,FOOD AND BEVERAGE,OPHTHALMOLOGY,SIMBRINZA,20.85,1
1098,"FOSSO, TREVOR",1336597079.0,OPTOMETRIST,"DOMPE US, INC.",FOOD AND BEVERAGE,SOLUTION/ DROPS,OXERVATE,15.53,1
1099,"FOSSO, TREVOR",1336597079.0,OPTOMETRIST,SUN PHARMACEUTICAL INDUSTRIES INC.,FOOD AND BEVERAGE,OPHTHALMOLOGY,CEQUA,21.0,1
1100,"FOSTER, HEIDI",1790841989.0,DERMATOLOGY,AMGEN INC.,FOOD AND BEVERAGE,INFLAMMATION,OTEZLA,30.72,2
1101,"FOSTER, HEIDI",1790841989.0,DERMATOLOGY,"GALDERMA LABORATORIES, L.P.",FOOD AND BEVERAGE,ACNE,TWYNEO,13.32,1
1102,"FOSTER, HEIDI",1790841989.0,DERMATOLOGY,INCYTE CORPORATION,FOOD AND BEVERAGE,DERMATOLOGY,OPZELURA,11.97,1
1103,"FOSTER, HEIDI",1790841989.0,DERMATOLOGY,"LILLY USA, LLC",FOOD AND BEVERAGE,IMMUNOLOGY,TALTZ,14.74,1
1104,"FOSTER, LUKE",1982733341.0,GENERAL PRACTICE,ELEVATE ORAL CARE,FOOD AND BEVERAGE,DENTISTRY,FLUORIMAX 5000,12.27,1
1105,"FOWLER, KYLIE",1326314030.0,OBSTETRICS & GYNECOLOGY,ABBVIE INC.,FOOD AND BEVERAGE,WOMENS HEALTH,ORILISSA,18.28,1
1106,"FOX, TERESA",1144649005.0,INFECTIOUS DISEASE,"INSMED, INC.",EDUCATION,RESPIRATORY,ARIKAYCE,32.48,2
1107,"FRALEY, MICHAEL",1730168741.0,FAMILY MEDICINE,ABBVIE INC.,FOOD AND BEVERAGE,NEUROSCIENCE,VRAYLAR,12.66,1
1108,"FRALEY, MICHAEL",1730168741.0,FAMILY MEDICINE,ASTELLAS PHARMA US INC,FOOD AND BEVERAGE,UROLOGY,MYRBETRIQ,12.72,1
1109,"FRALEY, MICHAEL",1730168741.0,FAMILY MEDICINE,"BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.",FOOD AND BEVERAGE,DIABETES,JARDIANCE,12.68,1
